DEPT	CODE_COAL	Lay	AC	GR	CILD	DEN	CLL8	RT	AT10	AT20	AT30	AT60	AT90
2237.5	6	CT	237.127	59.061	146.502	2.474	77.433	6.826	12.920	11.535	10.170	7.545	6.826
2237.6	6	CT	236.291	59.541	145.252	2.480	75.249	6.885	13.292	11.691	10.274	7.611	6.885
2237.7	6	CT	234.407	59.847	144.511	2.485	73.568	6.920	13.596	11.824	10.350	7.652	6.920
2237.8	6	CT	232.259	59.444	143.935	2.488	72.080	6.947	13.877	11.954	10.418	7.684	6.947
2237.9	6	CT	230.388	58.239	143.266	2.487	70.556	6.980	14.177	12.104	10.496	7.722	6.980
2238.0	6	CT	229.025	56.301	142.426	2.483	68.936	7.021	14.510	12.278	10.590	7.770	7.021
2238.1	6	CT	228.199	53.671	141.481	2.478	67.287	7.068	14.864	12.465	10.691	7.825	7.068
2238.2	6	CT	227.679	50.101	140.816	2.472	65.936	7.102	15.168	12.627	10.770	7.865	7.102
2238.3	6	CT	227.145	45.411	141.140	2.466	65.347	7.086	15.303	12.688	10.769	7.850	7.086
2238.4	6	CT	226.624	40.724	142.840	2.461	65.728	7.002	15.216	12.608	10.660	7.760	7.002
2238.5	6	CT	226.328	37.288	146.008	2.455	67.109	6.851	14.907	12.383	10.440	7.596	6.851
2238.6	6	CT	226.551	35.916	150.506	2.448	69.400	6.646	14.414	12.033	10.128	7.369	6.646
2238.7	6	CT	227.981	36.653	155.625	2.440	72.253	6.428	13.849	11.626	9.785	7.128	6.428
2238.8	6	CT	230.751	37.502	160.344	2.431	75.053	6.239	13.334	11.247	9.477	6.918	6.239
2238.9	6	CT	234.549	38.076	164.163	2.423	77.501	6.093	12.909	10.926	9.225	6.754	6.093
2239.0	6	CT	238.938	38.555	166.779	2.416	79.448	5.996	12.589	10.676	9.041	6.643	5.996
2239.1	6	CT	243.428	38.897	167.948	2.411	80.787	5.954	12.379	10.505	8.932	6.592	5.954
2239.2	6	CT	247.062	39.848	167.468	2.409	81.543	5.971	12.264	10.418	8.902	6.605	5.971
2239.3	6	CT	249.140	41.545	165.780	2.412	81.978	6.032	12.198	10.391	8.932	6.665	6.032
2239.4	6	CT	249.641	43.520	163.353	2.420	82.370	6.123	12.140	10.395	8.998	6.756	6.123
2239.5	6	CT	248.809	45.176	160.697	2.432	82.978	6.223	12.052	10.402	9.074	6.857	6.223
2239.6	6	CT	247.021	45.891	158.451	2.447	84.064	6.311	11.896	10.376	9.127	6.943	6.311
2239.7	6	CT	245.085	45.905	157.137	2.465	85.886	6.364	11.646	10.286	9.126	6.989	6.364
2239.8	6	CT	243.995	46.850	156.017	2.484	87.964	6.410	11.371	10.186	9.117	7.028	6.410
2239.9	6	CT	244.069	49.197	154.230	2.499	89.823	6.485	11.135	10.135	9.150	7.098	6.485
2240.0	6	CT	245.275	52.451	151.221	2.515	91.166	6.615	10.970	10.169	9.262	7.228	6.615
2240.1	6	CT	247.416	55.512	146.730	2.530	91.842	6.817	10.888	10.311	9.477	7.437	6.817
2240.2	6	CT	250.014	57.145	140.572	2.542	91.797	7.120	10.893	10.591	9.831	7.757	7.120
2240.3	6	CT	252.295	57.668	133.784	2.557	91.381	7.486	10.944	10.951	10.273	8.144	7.486
2240.4	6	CT	253.844	58.171	126.974	2.564	90.703	7.888	11.026	11.355	10.765	8.572	7.888
2240.5	6	CT	254.396	58.966	120.417	2.571	89.641	8.315	11.157	11.792	11.293	9.028	8.315
2240.6	6	CT	253.729	59.213	114.273	2.580	87.947	8.757	11.371	12.259	11.843	9.501	8.757
2240.7	6	CT	251.221	56.777	108.611	2.592	85.095	9.216	11.757	12.784	12.423	9.994	9.216
2240.8	6	CT	247.069	53.683	103.577	2.606	81.425	9.666	12.296	13.337	12.995	10.478	9.666
2240.9	6	CT	241.936	52.665	99.957	2.621	77.793	10.009	12.868	13.791	13.431	10.849	10.009
2241.0	6	CT	236.617	55.120	98.703	2.633	75.167	10.133	13.308	13.991	13.580	10.984	10.133
2241.1	6	CT	231.975	60.977	100.670	2.638	74.531	9.935	13.417	13.785	13.305	10.772	9.935
2244.3	7	CT	258.521	62.456	194.767	2.390	100.169	5.135	9.983	8.834	7.550	5.631	5.135
2244.4	7	CT	261.463	56.647	193.636	2.368	100.033	5.164	9.997	8.941	7.634	5.671	5.164
