No.	Well	Dep  Dist		Code	AC 	CNL 	DEN 	GR 	PE 	RLLD
1392	Z44	3401.300	3.546	6	155.6690	21.1700	2.8470	23.0340	5.1340	10.6450
1393	49-35	3228.400	4.132	6	186.3030	22.0730	2.8720	96.7210	4.8870	44.3760
1394	55-010	3405.000	5.355	6	191.5880	20.4110	2.9170	133.4570	5.6000	74.9330
1395	46-4	3406.300	6.224	6	178.8610	27.8040	2.9360	119.4320	4.4390	19.1880
1396	48-30	3354.000	6.857	6	198.7600	23.5990	2.8690	142.8990	4.7220	6.8220
1397	49-25	3358.000	8.967	6	192.4280	35.5560	2.9470	89.2360	4.8030	41.3840
1398	46-4	3406.200	12.120	6	186.2660	38.2750	2.9140	143.2570	4.2620	10.2630
1399	57-04	3539.000	15.069	6	161.2230	14.3840	3.2880	50.1460	6.3950	71.0060
1400	49-25	3357.800	18.620	6	229.8820	38.9110	2.9130	206.9130	5.3100	19.0840
1401	49-25	3360.400	0.061	7	185.3080	16.0210	2.5430	87.6380	2.9420	145.1130
1402	60-1	3380.100	0.070	7	184.0590	15.1160	2.5640	82.3960	3.3590	173.1680
1403	48-36	3270.700	0.106	7	183.0730	11.7940	2.5320	80.9060	3.0400	76.1070
1404	57-09	3399.800	0.118	7	179.5600	23.9980	2.5570	88.1490	3.2030	129.5280
1405	53-08	3474.600	0.134	7	185.1200	16.0810	2.5440	112.3860	3.2900	484.7770
1406	48-36	3270.500	0.160	7	182.1100	11.3490	2.5890	79.9310	3.1270	79.7810
1407	S233	3404.600	0.179	7	182.9540	17.9330	2.5670	95.2920	2.6910	184.0270
1408	53-09	3588.100	0.184	7	187.1160	15.8130	2.5610	109.4980	3.4880	302.7580
1409	53-09	3588.300	0.184	7	187.1160	15.8130	2.5610	109.4980	3.4880	302.7580
1410	S233	3404.400	0.187	7	185.0410	17.3760	2.5670	96.3380	2.6880	160.1250
1411	71-2	3546.200	0.190	7	174.2660	14.5560	2.5650	111.8760	3.2810	168.1740
1412	53-08	3474.800	0.196	7	176.9790	14.3280	2.5620	103.1300	3.3660	743.8330
1413	S233	3440.600	0.198	7	183.5440	9.0430	2.5560	66.7820	3.0770	60.8640
1414	S233	3441.500	0.222	7	177.5800	18.0310	2.5110	88.1320	3.2960	173.2960
1415	44-45	3237.600	0.224	7	172.0880	18.6770	2.5620	84.6200	3.0820	128.4130
1416	48-5	3341.500	0.226	7	189.0160	18.1430	2.5840	111.9820	3.1490	65.3690
1417	S233	3404.500	0.249	7	187.8120	15.9800	2.5770	96.1500	2.6870	127.3820
1418	60-09	3481.200	0.259	7	175.2890	16.9980	2.5670	104.2900	2.8160	44.0350
1419	62-02	3442.300	0.274	7	174.5980	10.4300	2.5940	89.3090	3.2390	111.5100
1420	S233	3441.400	0.277	7	173.3150	16.8900	2.5840	79.2280	3.3040	218.1190
1421	53-09	3588.900	0.284	7	191.5510	16.6570	2.5700	87.4760	3.5280	198.1530
1422	53-09	3588.700	0.284	7	191.5510	16.6570	2.5700	87.4760	3.5280	198.1530
