No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
967,57-04,3586.9,0.493,4,165.797,11.538,2.737,15.245,3.296,64.432
968,56-04C1,3630.2,0.504,4,152.694,2.775,2.826,11.448,3.845,2232.659
969,42-12,3362.8,0.513,4,154.907,3.931,2.85,22.423,3.385,1285.303
970,47-38C4,3404.0,0.522,4,149.112,3.898,2.823,14.951,3.925,4727.365
971,80-012,3474.1,0.531,4,153.049,1.762,2.801,12.339,3.563,18265.928
972,49-25,3361.5,0.5429999999999999,4,157.494,11.226,2.85,24.509,3.502,438.508
973,60-09,3483.7,0.5539999999999999,4,165.065,14.819,2.76,15.35,3.393,128.878
974,49-13,3353.5,0.564,4,157.273,1.46,2.753,15.2,3.368,12093.217
975,63-010,3410.0,0.574,4,169.232,12.915,2.741,10.098,3.442,63.637
976,63-010,3414.9,0.588,4,164.755,9.978,2.717,13.499,3.214,197.02
977,47-44,3481.3,0.6,4,174.255,9.072,2.724,13.543,2.992,190.564
978,68-2,3623.9,0.614,4,149.206,7.623,2.861,21.906,3.462,2403.3
979,68-09,3591.7,0.629,4,153.552,2.226,2.779,18.641,3.759,31915.371
980,54-3,3496.2,0.6459999999999999,4,165.479,9.927,2.733,12.828,2.858,83.493
981,49-13,3358.2,0.6609999999999999,4,156.415,0.889,2.772,10.41,3.412,28153.674
982,42-12,3419.0,0.6779999999999999,4,143.945,3.926,2.838,11.226,3.492,23665.092
983,68-02,3598.1,0.6970000000000001,4,155.109,2.154,2.72,20.805,3.16,1247.756
984,Z97,3582.7,0.7190000000000001,4,143.679,6.354,2.84,22.512,3.483,43862.086
985,62-09C2,3378.9,0.745,4,170.998,16.629,2.79,20.087,3.348,123.971
986,57-09,3402.7,0.77,4,157.67,11.293,2.862,19.934,3.647,154.51
987,74-01,3501.9,0.799,4,156.464,1.206,2.789,14.901,3.919,29329.16
988,46-20,3434.8,0.8370000000000001,4,165.873,14.332,2.728,11.447,3.257,70.561
989,S233,3405.8,0.872,4,153.299,8.394,2.707,15.222,2.838,748.345
990,68-02,3602.7,0.9129999999999999,4,157.872,8.346,2.71,12.154,2.83,81.883
991,60-09,3519.9,0.98,4,168.717,12.831,2.721,9.564,2.876,75.522
992,53-09,3579.1,1.041,4,188.159,14.897,2.735,10.176,2.982,94.072
993,Z44,3443.3,1.114,4,163.915,16.388,2.73,15.217,3.129,58.602
994,46-20,3465.4,1.212,4,162.672,12.756,2.706,11.968,2.919,34.668
995,60-09,3611.6,1.311,4,169.901,13.073,2.709,21.755,2.747,52.481
996,62-09C2,3427.6,1.492,4,166.241,15.232,2.697,22.365,2.998,75.733
997,46-20,3462.6,1.683,4,164.491,12.62,2.681,11.467,2.883,36.529
998,46-20,3463.1,1.903,4,168.145,12.601,2.674,9.535,2.835,31.61
999,53-09,3579.0,2.194,4,204.837,15.419,2.674,16.585,3.078,92.515
1000,71-05,3521.0,2.585,4,154.127,3.16,2.93,22.365,3.927,13178.031
1001,44-45,3253.6,0.004,5,164.533,9.287,2.809,54.475,3.4,329.56
1002,62-09C2,3459.6,0.027999999999999997,5,158.999,10.728,2.82,57.692,3.474,285.989
1003,Z97,3438.6,0.037000000000000005,5,166.476,9.52,2.824,58.733,3.514,242.709
1004,72-09,3507.6,0.046,5,167.238,8.83,2.79,48.812,3.498,274.052
1005,60-1,3356.9,0.052000000000000005,5,160.894,8.783,2.801,57.238,3.197,552.578
1006,48-5,3416.7,0.057999999999999996,5,176.854,11.833,2.797,56.039,3.278,247.106
1007,46-4,3414.1,0.063,5,161.146,10.144,2.778,63.78,3.311,427.966
1008,49-25,3403.6,0.067,5,163.863,10.265,2.814,56.529,3.67,284.987
1009,54-3,3464.6,0.071,5,165.377,9.311,2.792,43.702,3.506,419.941
1010,57-02,3504.6,0.075,5,163.035,10.491,2.816,66.756,3.573,260.064
1011,57-02,3509.6,0.079,5,166.102,10.401,2.791,52.894,3.138,183.197
1012,71-2,3533.8,0.08199999999999999,5,160.993,11.307,2.803,63.159,3.612,219.83
1013,46-27C2,3446.5,0.086,5,163.582,7.401,2.778,56.505,3.484,311.932
1014,56-04C3,3525.8,0.09,5,154.44,11.154,2.788,55.596,3.59,595.079
1015,48-30,3356.5,0.092,5,158.237,11.149,2.829,54.869,3.359,809.872
1016,43-35,3416.1,0.095,5,159.058,7.999,2.816,46.116,3.364,683.339
1017,Z97,3481.4,0.099,5,157.52,8.437,2.832,48.051,3.515,536.606
1018,Z97,3430.9,0.102,5,150.271,9.467,2.835,54.23,3.224,598.432
1019,57-09,3450.5,0.105,5,161.752,12.183,2.836,51.107,3.509,332.898
1020,57-04,3580.5,0.10800000000000001,5,163.928,9.763,2.813,59.157,3.012,270.292
1021,70-010,3524.0,0.111,5,160.782,7.962,2.826,41.82,3.394,277.203
1022,46-27C3,3510.8,0.113,5,153.4,8.191,2.768,55.32,3.286,499.542
1023,44-45,3296.7,0.11599999999999999,5,166.244,7.81,2.783,52.114,3.432,124.604
1024,64-01,3434.3,0.12,5,172.098,12.377,2.813,69.089,3.263,283.824
1025,46-4,3416.7,0.122,5,162.919,9.664,2.793,53.443,3.763,233.114
1026,54-3,3531.9,0.125,5,165.903,7.655,2.767,49.085,3.465,263.582
1027,49-35,3266.7,0.127,5,161.67,11.247,2.816,45.931,3.067,267.042
1028,80-012,3448.8,0.13,5,159.916,8.633,2.848,52.137,3.247,545.082
1029,46-4,3459.2,0.132,5,171.575,10.521,2.802,70.201,3.636,197.144
1030,49-25,3391.8,0.135,5,170.676,8.4,2.826,61.406,3.623,136.421
1031,61-05,3392.5,0.138,5,165.91,7.991,2.795,37.578,3.32,280.061
1032,68-2,3613.9,0.141,5,168.373,13.095,2.832,54.018,3.572,343.391
1033,57-02,3539.2,0.14300000000000002,5,159.398,9.625,2.797,39.722,3.614,194.812
1034,Z18,3335.7,0.146,5,165.66,10.455,2.766,69.721,3.446,213.141
1035,46-27C2,3493.5,0.14800000000000002,5,158.958,6.567,2.8,41.51,3.38,366.475
1036,44-7,3480.0,0.151,5,168.669,8.923,2.83,70.926,3.134,265.322
1037,72-04,3492.8,0.154,5,162.105,9.036,2.795,47.807,3.791,281.753
1038,68-2,3584.5,0.156,5,169.954,12.431,2.797,64.476,3.634,687.884
1039,43-35,3407.1,0.158,5,159.115,10.017,2.824,35.402,3.382,224.819
1040,70-04,3604.3,0.161,5,160.185,6.614,2.795,41.113,3.347,479.921
1041,57-012,3524.0,0.163,5,165.497,9.767,2.859,52.388,3.217,465.091
1042,49-25,3394.9,0.166,5,172.312,11.635,2.791,71.546,3.463,134.043
1043,74-01,3479.2,0.168,5,166.226,9.123,2.853,60.331,3.109,347.584
1044,64-01,3474.5,0.171,5,164.712,10.156,2.797,64.78,3.815,235.436
1045,47-38C4,3373.3,0.17300000000000001,5,171.166,13.49,2.813,62.284,3.609,190.975
1046,46-35,3371.8,0.17600000000000002,5,162.978,8.303,2.801,73.444,3.151,630.328
1047,51-10,3457.7,0.179,5,164.173,12.258,2.814,70.768,3.107,223.462
1048,56-04,3416.1,0.18100000000000002,5,170.101,11.084,2.803,63.836,3.819,220.804
1049,46-27C3,3518.0,0.184,5,158.526,9.526,2.832,74.674,3.562,198.829
1050,47-10,3326.7,0.187,5,156.922,7.384,2.773,40.864,3.318,545.996
1051,47-38C4,3402.7,0.18899999999999997,5,158.467,7.337,2.783,64.654,3.473,1101.449
1052,48-5,3370.5,0.192,5,170.882,9.699,2.809,36.623,3.09,212.162
1053,74-01,3488.8,0.19399999999999998,5,166.104,9.268,2.768,40.81,3.561,703.923
1054,62-0,3472.4,0.19699999999999998,5,165.344,8.082,2.836,70.875,3.344,119.322
1055,54-3,3478.8,0.19899999999999998,5,167.64,11.463,2.837,68.647,3.365,101.568
1056,56-04,3391.5,0.20199999999999999,5,161.44,12.093,2.846,68.692,3.585,234.862
1057,56-04C3,3547.1,0.204,5,165.065,8.93,2.767,42.04,3.668,209.846
1058,51-8,3415.5,0.207,5,164.387,10.777,2.744,48.498,3.264,339.234
1059,49-43,3278.5,0.209,5,158.329,14.248,2.783,64.548,3.356,530.574
1060,43-46,3292.3,0.212,5,165.547,12.218,2.788,49.645,3.774,159.408
1061,49-43,3290.0,0.215,5,163.964,12.438,2.838,60.166,3.128,119.129
1062,57-09,3406.9,0.217,5,170.289,13.642,2.798,59.357,3.714,183.016
1063,Z44,3470.4,0.22,5,154.256,9.793,2.805,40.692,3.459,1462.64
1064,51-8,3431.1,0.223,5,169.146,9.708,2.858,49.362,3.292,108.533
1065,72-04,3493.0,0.225,5,160.959,8.534,2.783,47.674,3.862,330.323
1066,63-03,3388.1,0.228,5,179.577,7.318,2.806,73.968,3.679,312.97
1067,Z97,3425.1,0.23,5,163.388,12.727,2.834,51.376,3.046,144.566
1068,60-09,3509.7,0.233,5,169.129,13.559,2.81,62.797,3.028,180.153
1069,51-8,3448.0,0.23600000000000002,5,168.075,9.021,2.816,54.584,3.505,50.159
1070,72-04,3446.6,0.23800000000000002,5,161.886,10.061,2.797,34.738,3.716,201.618
1071,46-27C1,3406.4,0.24100000000000002,5,162.154,6.528,2.783,63.999,3.555,1162.429
1072,46-27,3337.7,0.244,5,165.305,7.776,2.827,36.331,3.334,111.061
1073,49-25,3388.8,0.247,5,171.653,10.651,2.825,78.186,3.561,137.744
1074,46-20,3528.2,0.249,5,154.017,7.403,2.799,34.323,3.448,789.011
1075,62-04,3410.8,0.252,5,154.865,9.092,2.818,32.177,3.634,508.91
1076,Z44,3419.6,0.255,5,156.795,12.641,2.803,34.555,3.139,445.895
1077,70-3,3464.9,0.257,5,170.887,9.896,2.809,77.172,3.764,218.465
1078,57-09,3414.5,0.259,5,165.37,12.03,2.842,47.177,3.796,206.201
1079,41-44C3,3305.1,0.262,5,165.164,14.273,2.788,67.635,3.517,137.599
1080,53-08,3422.7,0.264,5,160.985,12.104,2.773,37.495,3.695,357.459
1081,S233,3439.9,0.267,5,162.362,12.312,2.754,48.794,3.07,207.916
1082,Z97,3478.6,0.27,5,160.224,7.164,2.781,44.425,3.819,481.656
1083,46-27C3,3441.7,0.273,5,165.767,11.956,2.829,81.222,3.269,226.596
1084,46-20,3457.0,0.276,5,156.494,9.383,2.813,28.003,3.236,223.142
1085,56-04,3426.9,0.278,5,178.49,9.149,2.781,80.965,3.56,189.313
1086,Z18,3352.8,0.281,5,153.567,5.649,2.787,48.741,3.719,637.335
1087,43-44,3335.8,0.284,5,156.748,5.64,2.844,55.04,3.665,592.398
1088,60-1,3354.0,0.287,5,153.794,12.319,2.814,60.409,3.529,2082.36
1089,49-43,3282.2,0.29,5,177.882,12.808,2.786,73.227,3.734,210.359
1090,Z18,3283.4,0.293,5,155.91,8.424,2.777,31.453,3.378,132.606
1091,46-27C3,3522.9,0.29600000000000004,5,152.72,7.867,2.798,44.845,3.923,291.857
1092,60-09,3536.5,0.299,5,154.996,7.392,2.813,38.109,3.752,788.435
1093,53-08,3440.9,0.302,5,163.658,10.347,2.864,48.742,2.967,306.626
1094,45-34,3486.1,0.305,5,156.224,9.011,2.757,33.125,3.383,172.203
1095,46-27,3290.4,0.308,5,160.485,7.449,2.782,31.232,3.269,142.603
1096,46-27C1,3457.2,0.311,5,156.246,5.725,2.817,58.473,3.381,1780.327
1097,61-05,3401.3,0.314,5,158.966,6.183,2.776,41.686,3.631,934.362
1098,48-30,3395.0,0.317,5,156.594,7.399,2.779,32.557,3.537,817.505
1099,46-4,3463.3,0.32,5,154.53,5.779,2.794,31.618,3.391,363.134
1100,44-45,3305.2,0.32299999999999995,5,159.111,7.02,2.757,42.979,3.282,1163.542
1101,47-38C4,3398.3,0.326,5,160.152,10.097,2.806,40.722,3.882,976.757
1102,46-6C1,3383.5,0.33,5,165.374,12.559,2.763,35.921,3.357,113.466
1103,56-04C1,3584.9,0.33299999999999996,5,152.294,9.464,2.852,40.127,3.444,1495.668
1104,42-12,3375.3,0.336,5,155.814,7.863,2.799,43.042,3.918,733.211
1105,57-04,3611.9,0.33899999999999997,5,167.586,7.893,2.811,26.984,3.443,816.144
1106,41-43,3306.0,0.34299999999999997,5,167.076,11.95,2.798,62.93,3.966,140.132
1107,70-06,3468.5,0.34600000000000003,5,168.384,13.784,2.836,74.432,3.102,617.283
1108,64-05,3505.6,0.349,5,174.753,8.778,2.809,79.217,3.232,67.744
1109,Z28,3280.6,0.35200000000000004,5,169.877,15.547,2.786,71.306,3.538,339.237
1110,56-04C1,3667.2,0.355,5,151.27,9.569,2.824,25.733,3.587,501.072
1111,48-36,3293.4,0.359,5,156.126,7.724,2.835,29.577,3.339,118.431
1112,68-2,3587.3,0.36200000000000004,5,176.203,11.02,2.848,76.664,3.402,77.532
1113,45-34,3496.8,0.366,5,154.661,7.348,2.794,28.208,3.671,467.647
1114,57-04,3612.6,0.369,5,157.638,7.137,2.787,38.863,3.902,486.56
1115,60-09,3591.9,0.373,5,154.484,6.051,2.769,30.682,3.385,321.752
1116,46-4,3484.2,0.376,5,156.692,9.27,2.803,30.084,3.552,71.428
1117,43-44,3281.0,0.38,5,162.232,8.308,2.771,31.097,3.758,199.191
1118,60-1,3368.9,0.38299999999999995,5,165.484,12.806,2.829,75.417,3.817,148.627
1119,62-09C2,3398.8,0.387,5,166.476,14.779,2.812,67.888,3.619,81.147
1120,63-03,3483.1,0.391,5,172.596,8.224,2.824,89.675,3.437,373.852
1121,57-09,3426.1,0.39399999999999996,5,172.786,11.77,2.805,85.826,3.588,124.099
1122,70-06,3469.4,0.39799999999999996,5,172.594,14.656,2.795,73.619,2.977,302.974
1123,56-04,3390.4,0.402,5,167.246,12.957,2.812,82.647,3.654,126.698
1124,S233,3424.1,0.406,5,157.1,12.046,2.75,42.266,2.91,254.034
1125,43-46,3287.6,0.41100000000000003,5,158.795,12.398,2.777,25.789,3.564,193.001
1126,63-03,3430.7,0.414,5,164.689,6.753,2.79,25.403,3.132,386.037
1127,72-04,3438.5,0.418,5,158.054,7.494,2.801,34.227,3.937,420.723
1128,62-09C2,3388.1,0.42200000000000004,5,157.811,15.434,2.769,53.853,3.562,92.201
1129,56-04C1,3643.9,0.426,5,153.425,9.736,2.843,40.257,3.935,826.386
1130,62-02,3440.1,0.43,5,169.499,5.773,2.813,28.013,3.63,586.461
1131,62-0,3462.8,0.435,5,173.698,13.642,2.858,43.395,3.062,111.893
1132,44-3,3404.2,0.439,5,160.435,8.163,2.818,26.254,3.774,646.037
1133,44-3,3405.6,0.444,5,155.789,7.966,2.843,25.622,3.114,217.461
1134,48-5,3342.6,0.449,5,177.011,13.622,2.817,84.867,3.38,114.541
1135,60-1,3451.3,0.45399999999999996,5,155.895,7.62,2.77,37.317,2.943,1245.095
1136,53-09,3565.6,0.45899999999999996,5,163.93,14.504,2.835,63.791,3.913,159.183
1137,66-1,3453.0,0.46399999999999997,5,154.404,6.472,2.811,28.789,3.734,837.656
1138,46-10,3379.6,0.469,5,149.855,8.599,2.842,29.963,3.4,1746.392
1139,64-01,3472.3,0.474,5,154.01,6.884,2.795,28.319,3.773,805.148
1140,43-44,3281.9,0.479,5,163.697,7.072,2.807,31.727,3.955,259.882
1141,56-04C1,3676.1,0.484,5,156.705,7.756,2.785,30.246,3.761,1353.034
1142,43-23,3368.0,0.489,5,153.229,7.598,2.798,25.243,3.822,463.538
1143,42-12,3368.9,0.495,5,178.037,10.956,2.786,86.188,3.727,98.366
1144,57-04,3602.4,0.5,5,149.911,6.336,2.868,32.33,3.512,628.2
1145,70-04,3528.9,0.506,5,179.923,14.725,2.795,80.546,3.634,110.004
1146,Z22,3363.8,0.511,5,177.847,17.217,2.814,64.11,3.522,128.503
1147,48-36,3297.3,0.517,5,151.681,4.663,2.82,25.829,3.298,490.638
1148,46-27C3,3444.7,0.524,5,176.122,14.097,2.847,78.547,3.092,103.189
1149,Z22,3400.6,0.53,5,173.696,15.337,2.802,32.382,3.088,117.282
1150,74-01,3485.6,0.537,5,171.11,6.135,2.842,55.982,2.754,1082.346
1151,48-36,3289.1,0.544,5,169.924,11.009,2.83,89.095,3.63,78.792
1152,60-1,3437.9,0.551,5,152.98,5.007,2.806,28.554,3.624,1135.475
1153,49-13,3322.6,0.5579999999999999,5,188.078,11.466,2.743,42.344,3.169,47.686
1154,80-012,3461.1,0.565,5,153.853,6.378,2.872,31.262,3.109,185.435
1155,70-06,3518.1,0.573,5,160.106,9.257,2.873,29.636,2.936,372.813
1156,68-02,3584.6,0.5820000000000001,5,157.634,2.899,2.788,63.786,3.014,1119.078
1157,42-12,3347.9,0.589,5,161.646,5.884,2.808,28.536,3.871,957.527
1158,71-05,3454.8,0.597,5,150.909,6.556,2.783,28.381,2.87,847.084
1159,47-44,3475.3,0.606,5,167.101,12.83,2.891,59.001,2.89,178.632
1160,68-2,3543.8,0.615,5,172.64,11.624,2.74,28.603,3.209,72.115
1161,74-01,3463.3,0.624,5,164.82,11.776,2.833,91.241,3.087,82.326
1162,74-01,3461.5,0.634,5,165.099,9.347,2.857,25.204,2.892,139.412
1163,43-23,3359.7,0.642,5,148.14,11.073,2.792,27.025,3.678,38.675
1164,65-07,3482.2,0.652,5,167.48,4.348,2.836,25.9,3.245,1155.916
1165,60-1,3366.1,0.6629999999999999,5,178.451,13.078,2.818,89.254,3.919,204.85
1166,62-04,3416.6,0.6759999999999999,5,184.863,13.058,2.757,86.244,3.459,60.433
1167,S233,3417.6,0.69,5,180.883,14.054,2.746,78.167,2.941,102.482
1168,68-02,3592.8,0.7020000000000001,5,152.558,6.934,2.826,49.011,2.771,3326.246
1169,71-2,3563.6,0.718,5,162.996,12.942,2.776,25.976,3.757,2308.513
1170,55-010,3499.8,0.731,5,149.483,5.441,2.831,27.476,2.766,510.038
1171,Z22,3380.0,0.7440000000000001,5,193.376,16.526,2.75,76.326,3.382,108.147
1172,68-2,3604.7,0.76,5,167.587,10.703,2.778,55.193,3.812,7479.283
1173,43-46,3294.1,0.7759999999999999,5,168.695,17.039,2.782,82.912,3.362,71.492
1174,61-05,3386.8,0.7959999999999999,5,174.317,11.729,2.801,104.315,3.351,140.042
1175,41-44C3,3381.7,0.8140000000000001,5,156.737,4.814,2.777,30.322,3.612,3607.99
1176,47-44,3539.9,0.8340000000000001,5,155.352,3.094,2.852,31.867,3.373,2147.351
1177,48-30,3380.2,0.855,5,194.086,17.233,2.777,86.156,3.42,123.654
1178,Z97,3563.8,0.877,5,151.45,4.3,2.803,38.978,3.577,6191.734
1179,65-07,3444.1,0.899,5,153.408,4.398,2.854,26.93,3.528,2912.859
1180,62-04,3442.4,0.925,5,182.682,14.851,2.782,101.12,3.497,131.015
1181,49-35,3311.7,0.95,5,158.272,3.481,2.797,35.826,3.39,6236.984
1182,53-09,3668.7,0.977,5,160.006,6.152,2.833,26.611,3.881,4273.292
1183,65-07,3498.4,1.0090000000000001,5,151.077,5.566,2.847,26.19,2.584,764.237
1184,64-05,3538.5,1.042,5,179.234,11.8,2.719,88.242,2.892,64.368
1185,62-09C2,3378.3,1.074,5,162.871,19.906,2.771,67.302,3.449,48.341
1186,49-43,3270.1,1.115,5,180.691,17.96,2.794,92.703,3.522,61.879
1187,56-04C1,3652.7,1.1640000000000001,5,182.103,13.513,2.769,107.034,3.697,87.21
1188,S233,3451.9,1.217,5,156.633,7.795,2.659,41.795,2.949,321.213
1189,63-03,3383.4,1.273,5,197.873,11.345,2.812,114.741,3.029,211.312
1190,49-25,3383.1,1.34,5,173.66,11.297,2.866,116.603,3.348,183.938
1191,60-09,3512.3,1.406,5,181.028,17.505,2.809,107.208,3.178,85.227
1192,68-02,3574.9,1.4780000000000002,5,172.976,5.054,2.747,116.274,3.173,286.765
1193,Z44,3406.9,1.56,5,184.663,19.578,2.77,95.841,2.909,83.483
1194,Z28,3273.3,1.66,5,190.313,19.184,2.756,106.943,3.222,165.916
1195,62-09C2,3492.5,1.774,5,196.268,18.195,2.804,105.46,3.179,25.943
1196,68-2,3550.6,1.899,5,198.302,15.513,2.753,123.333,3.317,140.285
1197,57-012,3563.6,2.093,5,159.175,0.418,2.796,26.01,3.768,21364.186
1198,70-04,3630.2,2.318,5,151.894,2.979,2.882,27.326,3.624,40488.219
1199,46-30,3353.8,2.69,5,181.798,12.929,2.813,142.177,2.831,94.464
1200,56-04C3,3560.2,3.472,5,183.573,14.342,2.738,152.804,3.416,51.331
1201,79-06,3501.3,0.057,6,168.036,3.294,2.914,23.119,4.604,2653.111
1202,79-06,3482.8,0.079,6,173.861,4.52,2.943,32.867,4.601,9237.06
1203,70-04,3628.6,0.111,6,156.382,3.048,2.937,27.741,4.538,12800.249
1204,70-04,3628.4,0.11699999999999999,6,157.323,2.936,2.938,28.1,4.525,17527.742
1205,77-05,3491.3,0.126,6,170.698,2.581,2.917,30.255,4.424,14747.807
1206,77-05,3491.2,0.142,6,169.287,1.911,2.921,22.427,4.541,25591.695
1207,79-06,3483.5,0.149,6,171.277,2.293,2.945,21.132,4.443,2134.881
1208,79-06,3507.1,0.152,6,156.888,3.181,2.936,15.18,4.779,14149.129
1209,77-05,3491.4,0.16,6,168.564,1.68,2.923,19.507,4.595,30130.4
1210,79-06,3502.6,0.161,6,165.1,2.236,2.943,13.55,4.86,2848.479
1211,70-04,3628.5,0.162,6,158.579,2.524,2.939,29.098,4.467,32814.324
1212,79-06,3507.0,0.165,6,155.451,3.141,2.92,15.672,4.745,14128.903
1213,77-05,3491.0,0.16899999999999998,6,169.758,4.342,2.912,35.918,4.248,3338.063
1214,79-06,3501.2,0.17300000000000001,6,164.829,4.175,2.905,31.814,4.254,3381.309
1215,79-06,3502.4,0.175,6,164.695,1.977,2.944,13.236,4.86,3189.806
1216,79-06,3507.2,0.177,6,157.734,3.191,2.95,16.088,4.798,14160.452
1217,70-04,3629.5,0.19,6,158.226,2.127,2.905,29.341,4.467,16917.195
1218,79-06,3483.6,0.196,6,173.969,3.688,2.941,28.443,4.35,689.792
1219,70-04,3628.3,0.2,6,158.274,2.267,2.939,29.763,4.407,36305.172
1220,70-04,3629.7,0.2,6,161.471,3.352,2.913,28.141,4.202,4683.826
1221,79-06,3502.5,0.209,6,164.366,1.591,2.942,12.319,4.901,3784.907
1222,77-05,3491.5,0.21,6,166.828,1.404,2.926,14.396,4.723,38778.383
1223,79-06,3506.6,0.21100000000000002,6,152.245,3.181,2.928,17.917,4.474,14087.363
1224,71-05,3522.0,0.21600000000000003,6,162.049,1.996,2.906,26.369,4.311,12234.728
1225,79-06,3509.5,0.22,6,155.816,3.067,2.917,15.725,4.357,14230.26
1226,77-05,3491.6,0.221,6,166.498,1.754,2.918,13.067,4.791,37848.547
1227,71-05,3521.9,0.226,6,161.51,1.583,2.917,22.555,4.327,21879.494
1228,77-05,3491.8,0.226,6,166.552,1.965,2.913,12.974,4.808,36417.672
1229,77-05,3494.6,0.231,6,171.167,2.247,2.912,25.57,4.277,16953.016
1230,79-06,3483.2,0.23399999999999999,6,167.522,1.458,2.953,14.263,4.41,8984.208
1231,71-05,3522.1,0.23600000000000002,6,161.139,1.458,2.922,20.898,4.337,26855.936
1232,71-05,3520.7,0.239,6,155.136,2.011,2.932,15.739,4.733,33278.742
1233,71-05,3509.2,0.24100000000000002,6,162.193,1.481,2.948,25.024,4.262,3666.943
1234,77-05,3499.2,0.24100000000000002,6,170.159,3.331,2.905,44.172,4.314,924.16
1235,71-05,3520.1,0.244,6,162.933,3.246,2.888,39.523,4.375,3378.839
1236,71-05,3523.8,0.244,6,161.235,1.011,2.928,18.475,4.386,27117.486
1237,77-05,3499.3,0.245,6,166.21,3.088,2.912,43.844,4.208,1592.712
1238,71-05,3523.5,0.247,6,159.29,1.146,2.93,23.646,4.284,11324.72
1239,79-06,3494.2,0.249,6,167.675,1.619,2.945,12.982,4.405,27821.93
1240,70-04,3629.1,0.251,6,154.888,2.278,2.898,29.386,4.418,4886.04
1241,71-05,3524.1,0.253,6,158.077,1.651,2.933,19.557,4.331,25001.08
1242,79-06,3508.1,0.256,6,159.592,3.095,2.959,14.221,4.921,14211.906
1243,79-06,3507.9,0.257,6,159.446,3.103,2.956,14.058,4.95,14210.307
1244,79-06,3495.0,0.261,6,162.551,4.136,2.942,30.232,4.154,29190.061
1245,77-05,3503.9,0.264,6,151.092,3.35,2.926,43.689,4.345,4019.316
1246,77-05,3491.7,0.266,6,166.552,2.53,2.899,12.974,4.823,36415.449
1247,79-06,3509.2,0.26899999999999996,6,154.561,3.162,2.95,15.602,4.346,14200.807
1248,79-06,3497.5,0.271,6,160.218,2.367,2.953,16.679,4.279,14730.049
1249,71-05,3519.2,0.273,6,157.788,3.228,2.883,32.908,4.477,7161.24
1250,71-05,3522.2,0.27399999999999997,6,159.266,1.464,2.931,17.4,4.357,39684.906
1251,71-05,3523.3,0.278,6,159.319,1.133,2.931,22.868,4.245,13133.666
1252,77-05,3493.5,0.28300000000000003,6,163.743,2.649,2.923,10.904,4.261,35775.449
1253,79-06,3507.5,0.287,6,158.426,3.112,2.967,17.661,4.898,14168.622
1254,71-05,3524.9,0.29,6,156.802,1.739,2.905,18.083,4.648,51726.57
1255,79-06,3508.0,0.29100000000000004,6,159.362,3.141,2.954,13.967,5.027,14206.151
1256,79-06,3497.8,0.293,6,156.754,4.88,2.93,31.392,4.113,1433.32
1257,71-05,3525.0,0.3,6,159.422,1.589,2.898,17.667,4.587,45814.461
1258,79-06,3495.9,0.303,6,160.789,1.594,2.961,14.505,4.856,21143.15
1259,77-05,3492.9,0.306,6,160.377,0.754,2.928,10.283,4.484,41228.16
1260,77-05,3494.9,0.308,6,168.696,2.978,2.889,18.29,4.38,30678.756
1261,79-06,3494.1,0.31,6,164.525,0.846,2.966,19.702,4.522,22054.824
1262,79-06,3494.3,0.312,6,172.459,3.77,2.922,12.364,4.174,21789.027
1263,79-06,3482.7,0.314,6,180.789,7.159,2.927,53.183,4.663,3350.891
1264,77-05,3493.0,0.317,6,162.224,0.89,2.939,9.301,4.44,41748.84
1265,79-06,3496.1,0.318,6,161.111,1.672,2.963,16.104,4.922,17349.17
1266,79-06,3501.8,0.322,6,172.59,2.736,2.918,22.559,5.12,823.845
1267,70-04,3627.8,0.324,6,158.654,2.122,2.958,29.288,4.304,41953.313
1268,77-05,3493.2,0.326,6,163.203,1.821,2.945,8.364,4.335,41466.207
1269,77-05,3492.8,0.32899999999999996,6,157.658,0.804,2.914,13.353,4.455,37650.422
1270,71-05,3520.3,0.33399999999999996,6,160.441,1.87,2.927,20.326,5.128,24165.232
1271,79-06,3492.9,0.335,6,161.147,0.743,2.964,19.935,4.441,22143.869
1272,79-06,3508.9,0.336,6,154.625,3.215,2.972,16.691,4.493,14182.693
1273,77-05,3492.6,0.33799999999999997,6,157.319,0.892,2.908,15.266,4.427,33918.578
1274,79-06,3496.8,0.33899999999999997,6,170.66,1.588,2.977,20.899,4.759,2465.389
1275,79-06,3502.9,0.341,6,174.451,6.152,2.914,14.44,4.975,314.631
1276,77-05,3493.3,0.344,6,162.767,1.408,2.948,8.683,4.358,41704.578
1277,77-05,3485.5,0.348,6,162.428,0.645,2.918,17.114,4.248,27153.402
1278,71-05,3509.8,0.349,6,161.544,0.767,2.954,15.833,4.305,20409.064
1279,79-06,3503.4,0.35200000000000004,6,171.165,4.34,2.896,15.346,5.124,5531.122
1280,77-05,3488.4,0.35200000000000004,6,162.07,2.898,2.885,12.057,4.493,38658.957
1281,62-02,3438.7,0.354,6,174.815,7.957,2.935,41.666,4.244,632.662
1282,79-06,3496.7,0.35600000000000004,6,170.519,1.475,2.979,19.504,4.546,3249.991
1283,71-05,3509.4,0.358,6,162.152,0.614,2.966,20.842,4.344,10284.584
1284,79-06,3489.1,0.36,6,162.759,0.974,2.97,15.059,4.416,11161.848
1285,70-04,3635.5,0.363,6,164.529,2.136,2.894,28.736,5.136,3748.681
