No.,Well,Dep,Dist,Code,AC,CNL,DEN,GR,PE,RLLD
197,Z44,3447.1,0.9570000000000001,0,158.389,8.325,2.711,19.19,4.875,1299.502
198,43-46,3308.5,1.1179999999999999,0,165.948,6.828,2.673,23.648,4.659,559.856
199,46-6C1,3394.4,1.577,0,156.509,2.289,2.707,12.881,4.774,98.499
200,47-10,3339.6,1.89,0,166.41,6.465,2.678,11.555,4.629,117.384
201,41-44C3,3334.3,0.006999999999999999,1,157.809,3.819,2.74,20.287,4.194,3715.812
202,45-34,3445.5,0.027999999999999997,1,158.96,4.613,2.75,15.599,4.004,2734.962
203,46-35,3339.1,0.035,1,157.853,3.207,2.751,11.791,4.209,1692.878
204,45-34,3441.6,0.042,1,158.019,6.092,2.748,20.245,4.386,3212.356
205,65-07,3467.7,0.049,1,155.254,0.867,2.742,9.388,4.094,3308.354
206,46-43,3328.0,0.054000000000000006,1,154.317,4.069,2.726,13.001,4.122,3830.697
207,46-43,3333.7,0.057999999999999996,1,155.744,5.343,2.758,20.607,4.259,2804.049
208,56-04C3,3608.2,0.063,1,157.319,2.708,2.757,15.649,4.194,1561.152
209,53-09,3631.0,0.068,1,160.946,3.21,2.737,8.003,4.529,2810.024
210,56-04,3452.6,0.073,1,155.001,2.917,2.751,23.177,4.168,6455.067
211,46-10,3333.0,0.077,1,160.282,1.848,2.733,14.375,4.451,5312.632
212,57-09,3457.0,0.08,1,155.29,3.42,2.747,22.111,4.529,4133.492
213,72-04,3477.9,0.084,1,161.664,3.785,2.762,13.085,4.313,2037.003
214,62-0,3521.1,0.08800000000000001,1,155.882,1.948,2.756,21.175,4.056,5777.378
215,70-010,3598.3,0.091,1,157.2,0.978,2.761,9.871,4.29,2925.015
216,Z97,3466.6,0.096,1,152.134,3.129,2.737,24.247,4.414,5259.249
217,49-25,3455.9,0.099,1,159.226,2.071,2.753,16.572,4.375,7468.676
218,45-34,3445.8,0.102,1,159.889,4.899,2.743,16.289,3.8,1399.044
219,66-1,3498.3,0.105,1,155.184,2.524,2.719,11.399,4.32,4819.411
220,53-09,3665.9,0.10800000000000001,1,160.395,3.851,2.744,19.557,4.2,773.198
221,46-43,3329.4,0.11199999999999999,1,160.662,5.45,2.74,17.037,3.804,1325.341
222,62-0,3516.5,0.115,1,156.214,1.297,2.72,9.976,4.414,3798.63
223,64-05,3534.3,0.11800000000000001,1,161.236,3.212,2.74,17.939,4.568,6920.184
