AC	CNL	DEN	GR	PE	RLLD	code	ÑµÁ·²âÊÔ·ÖÇø
157.19000	1.40000	2.72000	8.30000	5.21000	4.62121	0	2
154.34000	0.62000	2.73000	8.60000	4.99000	4.61743	0	0
157.65000	0.11000	2.72000	13.49000	4.88000	4.63225	0	1
155.90000	0.71000	2.76000	19.15000	4.98000	4.62145	0	2
154.56000	0.55000	2.73000	11.06000	4.81000	4.61574	0	0
163.92000	-0.84000	2.70000	19.96000	4.79000	4.43447	0	1
160.87000	1.20000	2.73000	22.56000	4.78000	4.61680	0	2
157.36000	2.83000	2.66000	11.70000	5.09000	4.57322	0	0
157.11000	0.99000	2.73000	12.25000	5.58000	3.64851	0	1
156.17000	0.46000	2.74000	13.41000	4.81000	4.62675	0	2
159.45000	0.11000	2.68000	17.08000	4.97000	4.62558	0	0
155.16000	0.34000	2.69000	12.10000	4.73000	4.59218	0	1
154.57000	0.69000	2.74000	7.48000	4.94000	4.62194	0	2
156.97000	2.73000	2.71000	12.36000	4.79000	4.62670	0	0
158.67000	0.38000	2.76000	15.46000	4.93000	4.62795	0	1
161.24000	-0.61000	2.73000	16.94000	4.84000	4.55744	0	2
158.26000	0.38000	2.76000	15.69000	4.94000	4.62834	0	0
158.55000	2.55000	2.66000	10.83000	5.00000	4.61556	0	1
160.15000	0.01000	2.74000	11.93000	5.04000	4.63273	0	2
166.17000	4.38000	2.71000	24.90000	5.10000	4.12449	0	0
157.67000	0.03000	2.71000	15.98000	5.17000	4.63273	0	1
159.96000	0.06000	2.67000	8.78000	5.09000	4.60204	0	2
172.14000	0.82000	2.73000	20.64000	5.26000	3.82168	0	0
153.06000	0.99000	2.72000	9.25000	4.74000	4.61708	0	1
156.95000	1.19000	2.73000	14.32000	4.87000	3.29994	0	2
170.12000	0.16000	2.70000	11.07000	5.24000	3.65271	0	0
162.19000	0.36000	2.68000	16.51000	4.82000	4.62695	0	1
161.71000	0.21000	2.70000	15.18000	4.75000	4.62879	0	2
154.11000	0.72000	2.78000	9.66000	4.91000	3.42128	0	0
157.44000	0.31000	2.71000	19.28000	5.27000	4.62604	0	1
153.59000	0.92000	2.74000	13.05000	5.53000	3.58017	0	2
160.53000	0.40000	2.71000	9.64000	4.95000	3.31017	0	0
171.46000	-0.01000	2.70000	11.89000	4.97000	3.63422	0	1
161.09000	0.11000	2.70000	15.11000	4.67000	4.61652	0	2
156.16000	1.73000	2.71000	10.73000	5.18000	3.29992	0	0
152.29000	0.27000	2.71000	10.48000	4.71000	4.60206	0	1
158.51000	-1.62000	2.72000	15.12000	4.82000	4.47043	0	2
